method,p0,q0,istate,model,"SE, adi, hist inf","SE, adi, KDE inf","SE, adi, KL inf","SH, adi, hist inf","SH, adi, KDE inf","SH, adi, KL inf","SE, dia, hist inf","SE, dia, KDE inf","SE, dia, KL inf","SE, adi, average","SH, adi, average","SE, dia, average"
FSSH_g_minus,20.0,-6.0,0,Tully1,0.003785774078566087,0.004784814160354799,-12.103265682092637,0.003678698582956159,0.004665488078952532,-14.097811130104725,0.0036581309858876323,0.004631489229199393,-14.553472313999443,0.11968671586633182,0.11987672257639165,0.11878924032256055
FSSH_g_plus,20.0,-6.0,0,Tully1,0.003561675196078834,0.004652825489865436,-12.246139478966574,0.003612214692657325,0.0044391018430671066,-14.09512458324326,0.0035037716465622514,0.004517630116002793,-14.969745793207734,0.11993460860849058,0.11996308526433158,0.119037615439181
FSSH_g_jt,20.0,-6.0,0,Tully1,0.004170498278183681,0.005182089855456691,-11.93813773698002,0.0037399930100369756,0.004721308797275838,-14.117177620629121,0.003884671765146358,0.004954629294199106,-14.818900908291436,0.12048604699006069,0.12075654885165658,0.1196272098149797
IDA_FSSH_g_minus,20.0,-6.0,0,Tully1,0.004786778615226045,0.005718612001160124,-11.566396117240938,0.006413814316947251,0.007179391832789006,-13.437307650653695,0.006349950680980459,0.006908022055462996,-14.143157692833462,0.0848042283016273,0.08820293842921417,0.0884653335791425
FSSH_h_minus,20.0,-6.0,0,Tully1,0.003940963298525224,0.005037919049025986,-12.016532075218912,0.0038498247915716233,0.004822192573956662,-13.732206655592742,0.0038114953673875416,0.004752187674860718,-14.194620372542053,0.11993552575879332,0.12056255578111437,0.1190464744182976
FSSH_v_minus,20.0,-6.0,0,Tully1,0.003478994753332784,0.004591959137133057,-12.429905637806621,0.003608106450823116,0.004683501378948871,-14.314471883484533,0.003411914346794456,0.004507536069722489,-15.339505012391346,0.11992044634980993,0.1208423153434037,0.11902136145281404
FSSH_g_minus,20.0,-6.0,1,Tully1,0.0038742761400336655,0.004694167415439537,-12.5676402315293,0.004561406700664995,0.005441142121300369,-14.69955978186455,0.003526102189512351,0.00412265762775986,-14.84222369733636,0.12092837713970583,0.1214196340607546,0.11999557304157664
FSSH_g_plus,20.0,-6.0,1,Tully1,0.003274241418804682,0.00394635539433341,-12.869527284832284,0.0045527368505624425,0.005659798792097741,-14.765437538546397,0.0034089044605492397,0.004376765165893887,-14.959081585362114,0.12089401832279312,0.12110349385925814,0.12000331309972377
FSSH_g_jt,20.0,-6.0,1,Tully1,0.003950382767445791,0.004866965320233808,-12.736562949293686,0.004290423416274414,0.005367290145602411,-15.044067522812853,0.003653778644618457,0.004768713847521597,-14.990497259860868,0.1215865849354211,0.1216565761175757,0.12076331927782365
IDA_FSSH_g_minus,20.0,-6.0,1,Tully1,0.0046472642150869,0.005335927262705205,-12.3550053694429,0.0032080367224035203,0.003905114119886513,-14.671826283779113,0.006030977898248463,0.006747384754323131,-14.453802891697597,0.08592100562177002,0.09873251358546078,0.09033206500040297
FSSH_h_minus,20.0,-6.0,1,Tully1,0.0030156414073392646,0.0038730188632841458,-12.819675715055322,0.00444344231024183,0.0056954483009129505,-14.891208886638992,0.0032534327070575125,0.004312864513739536,-15.146473884742278,0.12092622468382144,0.12180837071333368,0.12003407163491192
FSSH_v_minus,20.0,-6.0,1,Tully1,0.0035687701662865017,0.004488028552660978,-12.841525337848255,0.004380543859414592,0.005422138400376795,-14.862044151266957,0.0035257431897458896,0.004518793233426443,-14.894482805946872,0.12092095518134574,0.12117901425985343,0.12003299592956954
FSSH_g_minus,20.0,-10.0,0,Tully1,0.004106337795632742,0.005061089893178699,-13.805775033996584,0.004234371486930653,0.005128183775001501,-14.322013530818294,0.0039711746901341695,0.004863649676496712,-14.90289490113701,0.11595014690155489,0.11629246954324719,0.11446926663250367
FSSH_g_plus,20.0,-10.0,0,Tully1,0.004027607329870044,0.004946568860628359,-13.433755351373717,0.00430495575054211,0.005180269139590003,-13.998034971379363,0.004041463828984266,0.004910016127955788,-14.665943422708912,0.1159349820651977,0.11622321789586487,0.11444545842849461
FSSH_g_jt,20.0,-10.0,0,Tully1,0.00482161351354978,0.0059066961923720015,-13.384789658674288,0.00464960467345331,0.005545754051075123,-14.089925102569484,0.004389679540477786,0.005445473723384454,-14.986663255097547,0.1161293417794863,0.11705112980601402,0.11469079242557312
IDA_FSSH_g_minus,20.0,-10.0,0,Tully1,0.004694962031577316,0.005386076590160689,-13.195063739948901,0.006204346369558593,0.0067674507595956515,-13.725959830851203,0.006143703294852599,0.006539004294219159,-14.434984370652021,0.08602706825709674,0.0890134875404709,0.08853906830001401
FSSH_h_minus,20.0,-10.0,0,Tully1,0.004213792445990292,0.005196443408476889,-13.406163021339037,0.004370239836929807,0.005287996406288637,-13.942219439809524,0.0043245430356321155,0.005233610486352054,-14.543726073961981,0.11544680843979353,0.11584557169131642,0.11397372170665963
FSSH_v_minus,20.0,-10.0,0,Tully1,0.004413667182452559,0.0053997635161730844,-13.373181096793259,0.0044573348495503306,0.005360260220891308,-14.09216267603233,0.004179751419988846,0.00503727935470826,-14.864503462464633,0.11610467123422934,0.11623624067146651,0.11461627555008429
FSSH_g_minus,20.0,-10.0,1,Tully1,0.003777324501140042,0.0044708048463065145,-15.094102555143126,0.004879566684182507,0.005692626261477836,-15.385341336759469,0.003940145204033564,0.004707951620046133,-15.702322693876926,0.11604220821254453,0.1163029744103319,0.11457952301134658
FSSH_g_plus,20.0,-10.0,1,Tully1,0.003530666906450192,0.004452607129205103,-15.06644885500836,0.005243130335050394,0.00610996060074336,-15.094448320295353,0.003985969370174083,0.004786405307780764,-15.587543345237346,0.11594320653223238,0.11612342727277121,0.11448144630059787
FSSH_g_jt,20.0,-10.0,1,Tully1,0.004550400645077665,0.005475442555958529,-14.324630164807528,0.005386388613536115,0.006537752219777404,-14.563297833168303,0.004198125301714354,0.005177954016952786,-15.242847707978182,0.11650597382682877,0.11706111912102116,0.11510264297364296
IDA_FSSH_g_minus,20.0,-10.0,1,Tully1,0.004310412955253217,0.0050353637861204606,-14.777940532066475,0.003651569985308107,0.004375856588962673,-14.99521173183975,0.006420034727151894,0.006757037876741666,-14.99784761551982,0.08574092450229022,0.09630488369765308,0.09040818589691507
FSSH_h_minus,20.0,-10.0,1,Tully1,0.004148345408372381,0.004671481710600547,-15.016573872714181,0.004929276987357753,0.005827431026581549,-15.149859583358333,0.004058123611323246,0.004922235302339191,-15.652315169908853,0.11592321204068443,0.1160896238450284,0.11446566559965175
FSSH_v_minus,20.0,-10.0,1,Tully1,0.0038729260453696395,0.004613888823737106,-14.290027195581951,0.004916429061351107,0.0058626559853993225,-14.411795976976638,0.004035819701613031,0.004858550839188954,-14.814300356766188,0.115606551923856,0.11585034793685163,0.11415685799745097
FSSH_g_minus,10.0,-6.0,0,Tully1,0.0040066380012903765,0.004264890895704276,-11.76575114430509,0.00324753339926534,0.003522407386720992,-12.234029294231526,0.004090340675325875,0.004380634755357095,-12.051258360102604,0.059362621258217126,0.05903591879916147,0.062477956915977934
FSSH_g_plus,10.0,-6.0,0,Tully1,0.0038373567797808554,0.004186130161106123,-11.970198142978543,0.00324422607831537,0.0035503202398787363,-12.259155729053196,0.004387224915898713,0.00470680966985429,-12.036252820652233,0.058457679053393656,0.05840858601779658,0.06234055889055482
FSSH_g_jt,10.0,-6.0,0,Tully1,0.00488529967726669,0.005314238574107414,-11.381936839748137,0.003499319615578307,0.0038795386513720484,-11.881960513350196,0.004866447058407751,0.005310393017387,-11.573659670134646,0.06429966865814177,0.06295920110683491,0.06621838350814972
IDA_FSSH_g_minus,10.0,-6.0,0,Tully1,0.009949389171127717,0.010349315841256163,-10.849664101516133,0.0037386201910382744,0.004162339862534941,-11.644769565328316,0.009541505162007765,0.009388835902782992,-11.054548738741335,0.10413354441135014,0.06490656216518646,0.09380275948213508
